Name,RAJ2000,DEJ2000,Maj. Diam (arcmin),Bmag,Kmag,HRV (km/s),D (Mpc),Maj. Diam (kpc),inclination,BMag
NGC4150,182.64,30.40166667,2.19,12.49,8.99,226,13.74,8.77,53,-18.3
IC3341,186.5975,27.74555556,0.68,16.4,13.98,372,14,2.74,66,-14.4
NGC4308,185.4870833,30.07416667,0.85,14.11,10.62,642,14,3.53,20,-16.7
UGC07699,188.2,37.62166667,3.98,13.3,11.15,495,14.5,16.11,77,-18
AGC191803,147.0245833,7.129166667,0.72,16.5,14.05,535,14.9,3.12,63,-14.5
RKK1610,146.3533333,-48.14138889,0.93,16.9,12.63,882,14.9,6.25,54,-16.1
NGC4080,181.2158333,26.9925,1.58,13.7,10.79,565,15,6.85,65,-17.5
UGC04704,134.75125,39.21,4.37,15,11.91,599,15.2,18.17,90,-16.4
UGC08030,193.6225,26.305,1.23,16.6,14.21,628,15.3,5.4,66,-14.4
ESO499-038,150.9591667,-26.61277778,0.83,15.68,13.06,885,15.3,3.86,67,-15.5
LV J0954+3620,148.7108333,36.33388889,0.34,17.93,15.54,503,15.4,1.51,55,-13.1
UGC03501,99.66,49.25833333,1.12,16.7,13.89,451,15.5,5.42,90,-14.8
LV J0737+4724,114.36875,47.40916667,0.42,18.06,15.28,404,15.7,2.03,90,-13.4
NGC3104,150.9891667,40.75694444,3.55,13.97,11.24,603,16,16.35,57,-17.2
UGC06881,178.68625,20.05555556,1.62,15.9,13.41,601,16.4,7.7,90,-15.3
KDG082,178.9141667,31.51944444,1.91,14.84,12.09,590,16.6,9.22,51,-16.4
IC 779,184.91125,29.88333333,1.32,15.22,11.79,213,16.67,6.47,34,-16
UGC07131,182.2991667,30.90666667,1.62,16.8,13.95,253,16.8,7.71,75,-14.6
UGC7321,184.3916667,22.54027778,6.76,14.09,10.67,403,17.2,31.02,90,-18.4
KK127,183.3445833,29.92166667,1.38,15.6,13.99,131,17.3,6.8,70,-15.7
ESO495-008,125.2529167,-23.78138889,0.69,16.06,13.21,789,17.3,3.68,90,-15.7
AGC229053,184.5645833,25.56833333,0.49,17.9,15.44,425,17.9,2.54,75,-13.5
KKH58,151.8445833,38.96972222,1.26,15.61,12.94,587,18.4,6.63,62,-15.8
UGC07271,183.8891667,43.43416667,2.4,14.9,13.16,546,18.6,12.59,72,-16.6
DDO062,140.3645833,-22.50055556,2.51,14.8,11.72,846,18.6,13.67,79,-17.1
ESO497-004,135.7629167,-23.80833333,1.12,16.36,12.79,806,19,7.28,79,-16.1
IC2038,62.22541667,-55.99222222,2.09,14.98,12,712,19.2,11.14,79,-16.5
KKH38,101.97875,47.51388889,1.38,17.4,14.68,451,19.3,8.24,68,-14.4
NGC1533,62.46583333,-56.11833333,3.55,11.79,7.63,785,19.4,20.17,37,-19.9
AGC749236,186.4266667,26.81,0.62,17.3,14.86,273,19.5,3.48,71,-14.3
UGC05047,142.2066667,51.56055556,1.62,16,13,502,19.68,8.93,76,-15.6
LV J0926+3343,141.5391667,33.71777778,0.85,17.8,15.13,540,19.7,4.69,79,-13.8
KISSB023,145.0529167,29.59138889,0.83,16.32,13.9,544,19.8,4.67,90,-15.2
UGC03475,97.62,39.50388889,2.09,15.2,12.52,487,20,14.07,57,-17.3
UGC04787,136.8954167,33.27666667,2.45,14.6,11.69,553,20.3,14.08,76,-17.3
UGC07990,192.6133333,28.35277778,1.17,16.2,13.51,512,20.4,6.88,60,-15.4
UGC04932,139.8920833,51.10916667,1.86,15.17,13.15,549,20.6,10.82,73,-16.6
AGC208399,160.0445833,4.908888889,0.16,20,17.54,747,20.9,0.99,32,-11.7
AGC749315,157.2766667,26.91055556,0.11,19.1,16.66,645,21.5,0.7,34,-12.7
AGC198507,138.8575,25.41944444,0.2,18.6,16.12,502,21.7,1.29,47,-13.2
UGCA153,138.3004167,-19.40861111,2.24,15.4,12.36,766,21.9,15.17,54,-16.8
UGC05923,162.2816667,6.917222222,1.26,14.4,11.46,709,22.3,8.13,63,-17.7
UGC07774,189.09375,40.00527778,3.16,14.6,11.11,528,22.6,19.61,89,-17.9
KUG 1157+315,180.0675,31.225,0.83,15.05,12.88,617,23.2,5.55,62,-17
